# Simulation 39 (Up to date)
# 378 data points written for 54 variables.
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
2.863,574.873,48.938,-16.737,49.038,16.751,31.336,0.008,31.336,0.014,3.143,0.678,28.61,-80.6,9.792,0.054,5.134e-5,-3.956,-0.036,431.637,37.3,0.014,2.015e-4,20.763,15.272,2.112,0.145,2.377e6,0,3.012,0.602,0.602,0.313,0.166,0.123,0.007,0.014,-3.677e-4,0,0,0,0,-1.609e-4,0.006,2.6,34.253,83.836,0.017,2.087,13.861,992.699,339.699,0.05,0.122
2.913,582.833,48.106,-16.521,48.207,16.528,31.849,0.008,31.849,0.015,3.116,0.467,28.61,-80.6,9.792,0.202,3.437e-5,-1.448,0.003,431.637,37.3,0.014,2.015e-4,20.733,15.272,2.101,0.142,2.336e6,0,2.909,0.602,0.602,0.313,0.166,0.123,0.025,0.053,-2.453e-4,0,0,0,0,-2.23e-5,0.006,2.6,34.253,83.683,0.029,2.021,13.845,992.415,339.689,0.05,0.123
2.963,590.657,47.286,-16.28,47.387,16.289,32.358,0.008,32.358,0.015,3.093,0.551,28.61,-80.6,9.792,0.126,1.933e-5,2.139,0.054,431.637,37.3,0.014,2.015e-4,20.747,15.272,2.106,0.14,2.296e6,0,2.809,0.602,0.602,0.314,0.166,0.123,0.016,0.033,-3.561e-4,0,0,0,0,5.037e-5,0.006,2.6,34.253,83.708,0.039,2.006,13.83,992.135,339.68,0.05,0.125
3.013,598.347,46.478,-16.027,46.579,16.049,32.863,0.009,32.863,0.015,3.057,0.849,28.61,-80.6,9.792,0.128,3.488e-5,-1.318,0.067,431.637,37.3,0.014,2.015e-4,20.746,15.272,2.106,0.138,2.257e6,0,2.715,0.602,0.602,0.314,0.166,0.122,0.016,0.033,9.365e-5,0,0,0,0,-1.977e-5,0.006,2.6,34.253,83.826,0.035,2.095,13.815,991.86,339.671,0.05,0.126
3.063,605.906,45.683,-15.8,45.782,15.829,33.361,0.009,33.361,0.015,3.011,0.954,28.61,-80.6,9.792,0.237,2.325e-5,1.076,0.042,431.637,37.3,0.014,2.015e-4,20.725,15.272,2.097,0.135,2.218e6,0,2.622,0.602,0.602,0.314,0.166,0.122,0.029,0.062,-1.28e-4,0,0,0,0,1.363e-5,0.006,2.6,34.253,83.841,0.015,2.118,13.8,991.59,339.661,0.05,0.127
3.113,613.335,44.898,-15.597,44.996,15.623,33.851,0.009,33.851,0.016,2.961,0.908,28.61,-80.6,9.792,0.21,1.55e-4,5.71,0.074,431.637,37.3,0.014,2.015e-4,20.729,15.272,2.099,0.133,2.18e6,0,2.533,0.602,0.602,0.314,0.166,0.122,0.026,0.054,1.148e-4,0,0,0,0,3.973e-4,0.006,2.6,34.253,83.663,-0.003,2.206,13.785,991.325,339.653,0.05,0.129
3.163,620.637,44.122,-15.434,44.219,15.443,34.333,0.009,34.333,0.016,2.926,0.515,28.61,-80.6,9.792,0.126,-4.578e-5,-5.854,0.172,431.637,37.3,0.014,2.015e-4,20.745,15.272,2.105,0.131,2.142e6,0,2.444,0.601,0.601,0.314,0.166,0.122,0.016,0.034,-7.194e-6,0,0,0,0,-4.326e-4,0.006,2.6,34.253,83.342,-0.006,2.11,13.77,991.064,339.644,0.05,0.13
3.213,627.812,43.354,-15.267,43.452,15.269,34.812,0.01,34.812,0.016,2.909,0.263,28.61,-80.6,9.792,0.351,9.59e-5,-2.157,0.019,431.637,37.3,0.014,2.015e-4,20.701,15.272,2.088,0.128,2.104e6,0,2.36,0.601,0.601,0.314,0.165,0.122,0.044,0.091,3.403e-4,0,0,0,0,-6.081e-5,0.006,2.6,34.253,83.121,0.005,2.033,13.756,990.807,339.635,0.05,0.132
3.251,633.128,42.783,-15.123,42.881,15.125,35.17,0.01,35.17,0.016,2.9,0.25,28.61,-80.6,9.792,0.359,4.802e-5,1.714,0.034,431.637,37.3,0.014,2.015e-4,20.699,15.272,2.088,0.127,2.076e6,0,2.297,0.601,0.601,0.314,0.165,0.122,0.045,0.093,1.901e-4,0,0,0,0,3.943e-5,0.005,2.6,34.253,83.116,0.015,1.99,13.746,990.617,339.629,0.038,0.133
3.291,638.731,42.178,-14.948,42.277,14.954,35.552,0.01,35.552,0.016,2.887,0.433,28.61,-80.6,9.792,0.17,4.659e-6,4.655,0.067,431.637,37.3,0.014,2.015e-4,20.735,15.272,2.101,0.125,2.047e6,0,2.232,0.601,0.601,0.314,0.165,0.122,0.021,0.044,4.043e-4,0,0,0,0,2.992e-4,0.005,2.6,34.253,83.258,0.027,1.975,13.735,990.417,339.622,0.04,0.135
3.341,645.589,41.437,-14.721,41.535,14.745,36.023,0.01,36.023,0.016,2.854,0.851,28.61,-80.6,9.792,0.272,9.488e-5,-3.882,-7.38e-4,431.637,37.3,0.014,2.015e-4,20.715,15.272,2.094,0.123,2.012e6,0,2.155,0.601,0.601,0.314,0.165,0.122,0.034,0.071,-1.576e-4,0,0,0,0,-2.155e-4,0.005,2.6,34.253,83.504,0.035,2.081,13.721,990.172,339.614,0.05,0.136
3.391,652.326,40.705,-14.54,40.802,14.567,36.487,0.011,36.487,0.016,2.808,0.886,28.61,-80.6,9.792,0.345,5.598e-5,0.616,-0.011,431.637,37.3,0.014,2.015e-4,20.701,15.272,2.088,0.121,1.976e6,0,2.079,0.601,0.601,0.314,0.165,0.122,0.043,0.089,-2.41e-4,0,0,0,0,5.615e-6,0.005,2.6,34.253,83.591,0.035,2.025,13.708,989.931,339.606,0.05,0.136
3.435,658.157,40.069,-14.396,40.164,14.419,36.89,0.011,36.89,0.017,2.77,0.806,28.61,-80.6,9.792,0.283,2.474e-5,3.931,0.005,431.637,37.3,0.014,2.015e-4,20.712,15.272,2.093,0.119,1.945e6,0,2.014,0.601,0.601,0.314,0.165,0.122,0.035,0.074,3.712e-4,0,0,0,0,2.363e-4,0.005,2.6,34.253,83.482,0.028,2.008,13.696,989.722,339.599,0.044,0.138
3.485,664.671,39.353,-14.235,39.448,14.256,37.341,0.011,37.341,0.017,2.732,0.777,28.61,-80.6,9.792,0.258,8.597e-5,6.799,0.042,431.637,37.3,0.014,2.015e-4,20.717,15.272,2.094,0.117,1.911e6,0,1.944,0.6,0.601,0.314,0.165,0.122,0.032,0.066,-2.11e-4,0,0,0,0,7.318e-4,0.005,2.6,34.253,83.198,0.016,2.142,13.683,989.489,339.591,0.05,0.139
3.535,671.068,38.645,-14.096,38.739,14.109,37.786,0.011,37.786,0.017,2.696,0.585,28.61,-80.6,9.792,0.039,-2.894e-5,9.085,0.351,431.637,37.3,0.014,2.015e-4,20.759,15.272,2.11,0.115,1.877e6,0,1.875,0.6,0.6,0.314,0.165,0.122,0.005,0.008,-2.519e-4,0,0,0,0,0.001,0.005,2.6,34.253,82.78,0.006,2.224,13.67,989.261,339.583,0.05,0.14
3.585,677.35,37.943,-13.966,38.037,13.971,38.227,0.012,38.227,0.017,2.673,0.403,28.61,-80.6,9.792,0.186,6.976e-6,-7.883,0.084,431.637,37.3,0.014,2.015e-4,20.73,15.272,2.099,0.113,1.843e6,0,1.808,0.6,0.6,0.314,0.165,0.122,0.023,0.049,-1.625e-4,0,0,0,0,-0.001,0.005,2.6,34.253,82.341,0.003,2.295,13.658,989.036,339.576,0.05,0.141
3.635,683.517,37.248,-13.851,37.343,13.851,38.664,0.012,38.664,0.017,2.659,0.14,28.61,-80.6,9.792,0.509,3.95e-5,-4.58,0.035,431.637,37.3,0.014,2.015e-4,20.668,15.272,2.075,0.111,1.809e6,0,1.743,0.6,0.6,0.314,0.165,0.122,0.064,0.132,1.636e-4,0,0,0,0,-3.701e-4,0.005,2.6,34.253,82.019,0.008,2.217,13.646,988.816,339.568,0.05,0.142
3.671,687.929,36.746,-13.744,36.842,13.745,38.981,0.012,38.981,0.018,2.656,0.13,28.61,-80.6,9.792,0.524,3.729e-5,-0.003,0.018,431.637,37.3,0.014,2.015e-4,20.665,15.272,2.074,0.109,1.785e6,0,1.697,0.6,0.6,0.314,0.165,0.122,0.066,0.136,-3.586e-4,0,0,0,0,0,0.005,2.6,34.253,81.94,0.015,2.202,13.637,988.658,339.563,0.036,0.144
3.708,692.359,36.24,-13.615,36.337,13.618,39.303,0.012,39.303,0.018,2.648,0.268,28.61,-80.6,9.792,0.343,2.915e-5,2.981,0.03,431.637,37.3,0.014,2.015e-4,20.699,15.272,2.087,0.108,1.761e6,0,1.65,0.6,0.6,0.314,0.165,0.122,0.043,0.089,3.547e-4,0,0,0,0,1.655e-4,0.005,2.6,34.253,82.001,0.022,2.226,13.628,988.5,339.558,0.037,0.145
3.758,698.249,35.563,-13.448,35.661,13.455,39.736,0.012,39.736,0.018,2.632,0.417,28.61,-80.6,9.792,0.113,8.729e-6,5.54,0.08,431.637,37.3,0.014,2.015e-4,20.743,15.272,2.104,0.106,1.728e6,0,1.588,0.6,0.6,0.314,0.164,0.121,0.014,0.029,-3.231e-4,0,0,0,0,5.934e-4,0.005,2.6,34.253,82.23,0.029,2.15,13.617,988.289,339.551,0.05,0.146
3.808,704.028,34.895,-13.272,34.992,13.292,40.165,0.013,40.165,0.018,2.601,0.733,28.61,-80.6,9.792,0.362,1.977e-5,-3.814,0.036,431.637,37.3,0.014,2.015e-4,20.694,15.272,2.086,0.104,1.696e6,0,1.53,0.6,0.6,0.314,0.164,0.121,0.045,0.094,9.324e-5,0,0,0,0,-2.918e-4,0.004,2.6,34.253,82.49,0.029,2.238,13.605,988.082,339.544,0.05,0.146
3.858,709.698,34.235,-13.133,34.331,13.155,40.589,0.013,40.589,0.018,2.564,0.773,28.61,-80.6,9.792,0.467,3.547e-5,-0.471,0.008,431.637,37.3,0.014,2.015e-4,20.674,15.272,2.078,0.102,1.664e6,0,1.473,0.599,0.6,0.314,0.164,0.121,0.058,0.122,-8.397e-5,0,0,0,0,-4.622e-6,0.004,2.6,34.253,82.6,0.025,2.17,13.594,987.88,339.537,0.05,0.147
3.906,715.007,33.612,-13.001,33.707,13.03,40.987,0.013,40.987,0.018,2.523,0.861,28.61,-80.6,9.792,0.623,7.761e-5,4.642,0.026,431.637,37.3,0.014,2.015e-4,20.644,15.272,2.066,0.1,1.634e6,0,1.422,0.599,0.6,0.314,0.164,0.121,0.078,0.162,3.348e-4,0,0,0,0,4.653e-4,0.004,2.6,34.253,82.498,0.018,2.284,13.583,987.69,339.53,0.048,0.149
3.943,719.055,33.133,-12.93,33.227,12.946,41.291,0.013,41.291,0.018,2.495,0.638,28.61,-80.6,9.792,0.311,4.766e-5,7.546,0.034,431.637,37.3,0.014,2.015e-4,20.703,15.272,2.089,0.099,1.61e6,0,1.379,0.599,0.599,0.314,0.164,0.121,0.039,0.079,4.921e-4,0,0,0,0,0.001,0.004,2.6,34.253,82.264,0.013,2.186,13.575,987.545,339.526,0.037,0.151
3.993,724.438,32.489,-12.824,32.582,12.834,41.698,0.014,41.698,0.019,2.467,0.518,28.61,-80.6,9.792,0.124,3.078e-5,8.996,0.071,431.637,37.3,0.014,2.015e-4,20.739,15.272,2.103,0.097,1.58e6,0,1.327,0.599,0.599,0.314,0.164,0.121,0.015,0.031,-4.732e-4,0,0,0,0,0.002,0.004,2.6,34.253,81.837,0.011,2.261,13.565,987.353,339.519,0.05,0.154
4.043,729.715,31.85,-12.732,31.944,12.736,42.101,0.014,42.101,0.019,2.446,0.33,28.61,-80.6,9.791,0.193,1.413e-4,-8.839,0.018,431.637,37.3,0.014,2.015e-4,20.725,15.272,2.097,0.095,1.549e6,0,1.276,0.599,0.599,0.314,0.164,0.121,0.024,0.052,-2.239e-4,0,0,0,0,-0.002,0.004,2.6,34.253,81.376,0.013,2.27,13.554,987.164,339.513,0.05,0.156
4.093,734.887,31.216,-12.619,31.311,12.623,42.501,0.014,42.501,0.019,2.43,0.342,28.61,-80.6,9.791,0.186,2.673e-5,-7.132,0.021,431.637,37.3,0.014,2.015e-4,20.726,15.272,2.098,0.093,1.52e6,0,1.228,0.599,0.599,0.314,0.164,0.121,0.023,0.05,-4.224e-4,0,0,0,0,-0.001,0.004,2.6,34.253,80.977,0.018,2.421,13.544,986.979,339.507,0.05,0.158
4.143,739.956,30.588,-12.525,30.683,12.527,42.898,0.014,42.898,0.019,2.416,0.224,28.61,-80.6,9.791,0.397,3.812e-5,-5.168,-6.499e-4,431.637,37.3,0.014,2.015e-4,20.685,15.272,2.082,0.091,1.489e6,0,1.18,0.599,0.599,0.314,0.164,0.121,0.05,0.104,3.631e-4,0,0,0,0,-6.936e-4,0.004,2.6,34.253,80.665,0.023,2.392,13.534,986.798,339.501,0.05,0.161
4.193,744.923,29.964,-12.427,30.06,12.428,43.294,0.015,43.294,0.019,2.407,0.151,28.61,-80.6,9.791,0.529,2.474e-5,-1.767,0.01,431.637,37.3,0.014,2.015e-4,20.66,15.272,2.073,0.089,1.459e6,0,1.132,0.599,0.599,0.314,0.164,0.121,0.066,0.137,-1.462e-5,0,0,0,0,-8.443e-5,0.004,2.6,34.253,80.493,0.026,2.324,13.524,986.621,339.495,0.05,0.163
4.243,749.787,29.345,-12.316,29.443,12.317,43.688,0.015,43.688,0.019,2.399,0.163,28.61,-80.6,9.791,0.494,3.96e-5,1.734,0.017,431.637,37.3,0.014,2.015e-4,20.666,15.272,2.075,0.088,1.429e6,0,1.086,0.599,0.599,0.314,0.164,0.121,0.062,0.128,4.689e-4,0,0,0,0,8.478e-5,0.004,2.6,34.253,80.498,0.028,2.251,13.515,986.447,339.489,0.05,0.164
4.293,754.551,28.732,-12.205,28.831,12.206,44.081,0.015,44.081,0.02,2.391,0.179,28.61,-80.6,9.791,0.434,4.459e-5,4.721,0.009,431.637,37.3,0.014,2.015e-4,20.677,15.272,2.079,0.086,1.398e6,0,1.04,0.599,0.599,0.314,0.164,0.121,0.054,0.112,-3.729e-4,0,0,0,0,6.559e-4,0.004,2.6,34.253,80.667,0.027,2.108,13.505,986.276,339.483,0.05,0.167
4.343,759.214,28.126,-12.055,28.226,12.065,44.472,0.015,44.472,0.02,2.374,0.498,28.61,-80.6,9.791,0.274,4.945e-5,-5.479,0.014,431.637,37.3,0.014,2.015e-4,20.708,15.272,2.091,0.084,1.37e6,0,0.998,0.599,0.599,0.314,0.164,0.121,0.034,0.072,2.363e-4,0,0,0,0,-9.199e-4,0.004,2.6,34.253,80.943,0.025,2.254,13.496,986.11,339.477,0.05,0.168
4.393,763.779,27.525,-11.957,27.625,11.966,44.859,0.016,44.859,0.02,2.349,0.48,28.61,-80.6,9.791,0.301,4.149e-5,-3.315,0.003,431.637,37.3,0.014,2.015e-4,20.702,15.272,2.089,0.082,1.34e6,0,0.955,0.598,0.599,0.314,0.164,0.121,0.037,0.078,-2.92e-4,0,0,0,0,-3.52e-4,0.004,2.6,34.253,81.165,0.023,2.081,13.487,985.946,339.472,0.05,0.17
4.443,768.245,26.93,-11.85,27.03,11.863,45.242,0.016,45.242,0.02,2.323,0.572,28.61,-80.6,9.791,0.564,2.241e-5,-1.139,0.014,431.637,37.3,0.014,2.015e-4,20.652,15.272,2.069,0.08,1.312e6,0,0.915,0.598,0.599,0.314,0.164,0.121,0.071,0.146,4.522e-4,0,0,0,0,-4.338e-5,0.003,2.6,34.253,81.282,0.021,2.081,13.478,985.787,339.467,0.05,0.172
4.493,772.614,26.34,-11.745,26.44,11.765,45.621,0.016,45.621,0.02,2.291,0.689,28.61,-80.6,9.791,0.884,2.279e-5,2.863,0.005,431.637,37.3,0.014,2.015e-4,20.592,15.272,2.046,0.079,1.284e6,0,0.878,0.598,0.6,0.314,0.164,0.121,0.112,0.229,3.708e-4,0,0,0,0,2.857e-4,0.003,2.6,34.253,81.241,0.018,2.19,13.469,985.631,339.461,0.05,0.174
4.535,776.254,25.843,-11.679,25.941,11.695,45.938,0.016,45.938,0.02,2.263,0.598,28.61,-80.6,9.791,0.714,2.122e-5,6.597,0.006,431.637,37.3,0.014,2.015e-4,20.624,15.272,2.058,0.077,1.26e6,0,0.845,0.598,0.599,0.314,0.164,0.121,0.09,0.184,1.747e-4,0,0,0,0,0.002,0.003,2.6,34.253,81.035,0.016,2.145,13.462,985.501,339.457,0.043,0.176
4.585,780.445,25.26,-11.604,25.359,11.615,46.307,0.017,46.307,0.021,2.235,0.513,28.61,-80.6,9.791,0.533,1.787e-5,9.341,0.02,431.637,37.3,0.014,2.015e-4,20.657,15.272,2.071,0.076,1.232e6,0,0.808,0.598,0.599,0.314,0.164,0.121,0.067,0.135,4.651e-4,0,0,0,0,0.003,0.003,2.6,34.253,80.627,0.016,2.174,13.454,985.351,339.452,0.05,0.177
4.635,784.541,24.682,-11.528,24.781,11.537,46.672,0.017,46.672,0.021,2.211,0.468,28.61,-80.6,9.791,0.428,6.924e-5,11.591,0.017,431.637,37.3,0.014,2.015e-4,20.677,15.272,2.079,0.074,1.205e6,0,0.773,0.598,0.598,0.314,0.163,0.121,0.053,0.105,-2.3e-4,0,0,0,0,0.005,0.003,2.6,34.253,80.094,0.016,2.289,13.446,985.204,339.447,0.05,0.178
4.685,788.543,24.108,-11.458,24.207,11.465,47.033,0.017,47.033,0.021,2.189,0.403,28.61,-80.6,9.791,0.249,-1.451e-5,13.117,0.022,431.637,37.3,0.014,2.015e-4,20.711,15.272,2.092,0.072,1.179e6,0,0.739,0.598,0.598,0.314,0.163,0.121,0.031,0.057,-2.229e-5,0,0,0,0,0.007,0.003,2.6,34.253,79.47,0.018,2.399,13.438,985.061,339.442,0.05,0.179
4.735,792.451,23.536,-11.409,23.636,11.412,47.39,0.017,47.39,0.021,2.173,0.241,28.61,-80.6,9.791,0.239,-2.218e-5,-13.237,0.024,431.637,37.3,0.014,2.015e-4,20.713,15.272,2.093,0.071,1.152e6,0,0.705,0.598,0.598,0.314,0.163,0.121,0.03,0.069,-1.404e-4,0,0,0,0,-0.008,0.003,2.6,34.253,78.802,0.019,2.382,13.43,984.922,339.437,0.05,0.18
4.785,796.265,22.966,-11.378,23.068,11.378,47.746,0.018,47.746,0.021,2.166,0.026,28.61,-80.6,9.791,0.917,-2.657e-6,-10.752,0.013,431.637,37.3,0.014,2.015e-4,20.585,15.272,2.044,0.069,1.123e6,0,0.672,0.598,0.599,0.314,0.163,0.121,0.116,0.243,-3.782e-4,0,0,0,0,-0.005,0.003,2.6,34.253,78.194,0.021,2.247,13.422,984.785,339.433,0.05,0.182
4.835,799.986,22.399,-11.321,22.503,11.321,48.101,0.018,48.101,0.021,2.168,0.042,28.61,-80.6,9.791,1.164,1.075e-5,-6.239,0.013,431.637,37.3,0.014,2.015e-4,20.54,15.272,2.026,0.067,1.096e6,0,0.641,0.598,0.6,0.314,0.163,0.121,0.149,0.303,-3.216e-4,0,0,0,0,-0.002,0.003,2.6,34.253,77.766,0.024,2.211,13.415,984.652,339.428,0.05,0.184
4.879,803.191,21.901,-11.25,22.008,11.25,48.415,0.018,48.415,0.021,2.169,0.008,28.61,-80.6,9.791,1.074,2.609e-5,-2.531,0.004,431.637,37.3,0.014,2.015e-4,20.556,15.272,2.033,0.066,1.073e6,0,0.614,0.598,0.6,0.314,0.163,0.121,0.137,0.279,8.745e-5,0,0,0,0,-3.197e-4,0.003,2.6,34.253,77.575,0.025,2.228,13.409,984.538,339.425,0.044,0.186
4.929,806.738,21.34,-11.168,21.45,11.168,48.771,0.018,48.771,0.022,2.168,0.03,28.61,-80.6,9.791,0.946,2.429e-5,0.909,0.007,431.637,37.3,0.014,2.015e-4,20.579,15.272,2.041,0.064,1.046e6,0,0.583,0.598,0.599,0.314,0.163,0.121,0.12,0.245,3.413e-4,0,0,0,0,4.334e-5,0.003,2.6,34.253,77.541,0.026,2.18,13.402,984.411,339.42,0.05,0.188
4.979,810.193,20.784,-11.08,20.897,11.08,49.126,0.019,49.126,0.022,2.165,0.104,28.61,-80.6,9.791,0.654,1.866e-5,3.898,7.913e-4,431.637,37.3,0.014,2.015e-4,20.633,15.272,2.062,0.063,1.019e6,0,0.552,0.598,0.598,0.314,0.163,0.121,0.082,0.168,4.516e-4,0,0,0,0,8.398e-4,0.003,2.6,34.253,77.67,0.026,2.131,13.395,984.287,339.416,0.05,0.189
5.029,813.557,20.232,-10.985,20.347,10.988,49.481,0.019,49.481,0.022,2.157,0.224,28.61,-80.6,9.791,0.133,3.935e-5,5.182,0.021,431.637,37.3,0.014,2.015e-4,20.732,15.272,2.1,0.061,9.93e5,0,0.524,0.598,0.598,0.314,0.163,0.12,0.016,0.033,-4.781e-4,0,0,0,0,0.002,0.003,2.6,34.253,77.904,0.025,2.132,13.388,984.167,339.412,0.05,0.189
5.079,816.831,19.685,-10.903,19.802,10.907,49.834,0.019,49.834,0.022,2.143,0.311,28.61,-80.6,9.791,0.307,3.935e-5,-4.733,0.007,431.637,37.3,0.014,2.015e-4,20.698,15.272,2.087,0.059,9.668e5,0,0.497,0.598,0.598,0.314,0.163,0.12,0.038,0.081,2.483e-4,0,0,0,0,-0.001,0.003,2.6,34.253,78.16,0.025,2.097,13.382,984.05,339.408,0.05,0.189
5.129,820.016,19.142,-10.825,19.26,10.832,50.184,0.02,50.184,0.022,2.126,0.397,28.61,-80.6,9.791,0.774,2.421e-5,-3.362,0.009,431.637,37.3,0.014,2.015e-4,20.61,15.272,2.053,0.058,9.409e5,0,0.471,0.598,0.599,0.314,0.163,0.12,0.098,0.201,3.981e-5,0,0,0,0,-7.323e-4,0.002,2.6,34.253,78.367,0.023,2.087,13.375,983.936,339.404,0.05,0.19
5.179,823.112,18.603,-10.759,18.721,10.767,50.531,0.02,50.531,0.022,2.104,0.433,28.61,-80.6,9.791,1.04,2.93e-5,-0.568,0.008,431.637,37.3,0.014,2.015e-4,20.561,15.272,2.034,0.056,9.149e5,0,0.446,0.597,0.599,0.314,0.163,0.12,0.132,0.269,-3.004e-4,0,0,0,0,-2.213e-5,0.002,2.6,34.253,78.468,0.021,2.047,13.369,983.825,339.401,0.05,0.19
5.229,826.119,18.066,-10.698,18.186,10.708,50.874,0.02,50.874,0.023,2.082,0.446,28.61,-80.6,9.791,1.214,2.092e-5,2.154,0.006,431.637,37.3,0.014,2.015e-4,20.53,15.272,2.022,0.055,8.892e5,0,0.422,0.597,0.6,0.314,0.163,0.12,0.155,0.314,-1.409e-4,0,0,0,0,3.366e-4,0.002,2.6,34.253,78.428,0.02,2.018,13.363,983.718,339.397,0.05,0.19
5.279,829.039,17.533,-10.631,17.653,10.644,51.214,0.02,51.214,0.023,2.059,0.529,28.61,-80.6,9.791,1.715,2.184e-5,5.534,0.009,431.637,37.3,0.014,2.015e-4,20.441,15.272,1.988,0.053,8.654e5,0,0.401,0.597,0.602,0.314,0.163,0.12,0.223,0.441,-3.942e-4,0,0,0,0,0.002,0.002,2.6,34.253,78.235,0.018,2.145,13.358,983.614,339.394,0.05,0.191
5.328,831.812,17.014,-10.576,17.135,10.59,51.542,0.021,51.542,0.023,2.031,0.548,28.61,-80.6,9.791,1.926,3.895e-5,10.06,0.01,431.637,37.3,0.014,2.015e-4,20.404,15.272,1.974,0.052,8.419e5,0,0.38,0.597,0.604,0.314,0.163,0.12,0.252,0.49,-3.635e-6,0,0,0,0,0.008,0.002,2.6,34.253,77.852,0.017,2.236,13.352,983.514,339.39,0.049,0.191
5.375,834.366,16.524,-10.535,16.646,10.546,51.85,0.021,51.85,0.023,2.007,0.489,28.61,-80.6,9.791,1.731,4.039e-5,13.651,0.012,431.637,37.3,0.014,2.015e-4,20.438,15.272,1.987,0.05,8.188e5,0,0.359,0.597,0.602,0.314,0.163,0.12,0.225,0.432,3.965e-4,0,0,0,0,0.016,0.002,2.6,34.253,77.3,0.017,2.245,13.347,983.423,339.387,0.046,0.191
5.425,837.034,15.998,-10.498,16.121,10.506,52.177,0.021,52.177,0.023,1.985,0.403,28.61,-80.6,9.791,1.352,3.8e-5,16.724,0.014,431.637,37.3,0.014,2.015e-4,20.504,15.272,2.013,0.049,7.941e5,0,0.337,0.597,0.6,0.314,0.163,0.12,0.174,0.324,-1.61e-4,0,0,0,0,0.025,0.002,2.6,34.253,76.535,0.017,2.246,13.342,983.328,339.384,0.05,0.192
5.475,839.615,15.474,-10.467,15.599,10.471,52.501,0.021,52.501,0.023,1.967,0.308,28.61,-80.6,9.791,0.837,2.868e-5,18.674,0.019,431.637,37.3,0.014,2.015e-4,20.598,15.272,2.048,0.047,7.694e5,0,0.315,0.597,0.598,0.314,0.163,0.12,0.106,0.183,-1.587e-4,0,0,0,0,0.034,0.002,2.6,34.253,75.644,0.018,2.234,13.337,983.235,339.381,0.05,0.192
5.525,842.111,14.952,-10.438,15.079,10.44,52.823,0.022,52.823,0.023,1.954,0.23,28.61,-80.6,9.791,0.349,1.176e-5,19.423,0.044,431.637,37.3,0.014,2.015e-4,20.689,15.272,2.084,0.046,7.45e5,0,0.295,0.597,0.597,0.314,0.163,0.12,0.043,0.051,3.74e-4,0,0,0,0,0.039,0.002,2.6,34.253,74.686,0.019,2.237,13.332,983.146,339.378,0.05,0.192
5.575,844.521,14.431,-10.408,14.561,10.41,53.142,0.022,53.142,0.024,1.944,0.172,28.61,-80.6,9.791,0.071,-1.652e-5,-19.448,0.208,431.637,37.3,0.014,2.015e-4,20.743,15.272,2.104,0.044,7.21e5,0,0.276,0.597,0.597,0.314,0.163,0.12,0.009,0.06,-7.861e-5,0,0,0,0,-0.042,0.002,2.6,34.253,73.71,0.02,2.253,13.327,983.06,339.375,0.05,0.193
5.625,846.845,13.911,-10.38,14.045,10.38,53.461,0.022,53.461,0.024,1.936,0.126,28.61,-80.6,9.791,0.449,3.236e-5,-18.744,0.023,431.637,37.3,0.014,2.015e-4,20.67,15.272,2.076,0.043,6.971e5,0,0.258,0.597,0.597,0.314,0.163,0.12,0.056,0.158,-1.735e-4,0,0,0,0,-0.041,0.002,2.6,34.253,72.752,0.021,2.262,13.322,982.977,339.372,0.05,0.193
5.675,849.085,13.393,-10.347,13.531,10.348,53.778,0.022,53.778,0.024,1.931,0.102,28.61,-80.6,9.791,0.666,1.945e-5,-17.624,0.01,431.637,37.3,0.014,2.015e-4,20.629,15.272,2.06,0.041,6.736e5,0,0.241,0.597,0.598,0.314,0.163,0.12,0.084,0.211,3.603e-4,0,0,0,0,-0.039,0.002,2.6,34.253,71.842,0.021,2.289,13.318,982.897,339.369,0.05,0.193
5.725,851.239,12.876,-10.313,13.019,10.313,54.094,0.023,54.094,0.024,1.926,0.088,28.61,-80.6,9.791,0.798,3.673e-5,-16.449,0.002,431.637,37.3,0.014,2.015e-4,20.604,15.272,2.051,0.04,6.502e5,0,0.225,0.597,0.598,0.314,0.163,0.12,0.101,0.243,2.086e-4,0,0,0,0,-0.037,0.002,2.6,34.253,70.99,0.022,2.31,13.314,982.82,339.367,0.05,0.194
